source,target,value
American,Japan,15
American,Japanese,14
Japan,Japanese,12
Soviet,the Soviet Union,12
Germany,Japan,11
Britain,France,11
Japan,US,11
France,Germany,10
Soviet,USSR,10
American,Germany,10
the Soviet Union,the United States,9
Germany,the United States,9
Germany,the Soviet Union,9
Japanese,Soviet,8
American,South Vietnamese,8
China,Japanese,8
Britain,the Soviet Union,7
Germany,Russia,7
Americans,Japanese,6
Japanese,the US Navy,6
Japanese,US,6
Japan,United States Army Forces,6
American,Americans,6
India,Pakistan,6
Russia,the Soviet Union,6
China,India,6
China,Japan,6
China,North Korea,6
Israel,North Korea.159 South Africa,6
The United States,the Soviet Union,5
Soviet,the United States,5
Germany,Soviet,5
Germany,Italy,5
Africa,the United Nations,5
Japanese,the United States,5
Germany,the South Caucasus,5
American,Soviet,5
India,Indian,5
Germany,Soviets,5
Britain,Germany,4
Japan,Japan.96,4
Japan,South-East Asia,3
Japan,Russia,3
India,Japan,3
South Korea,United Nations,3
Israel,Pakistan,3
India,Japanese,3
South Korea,United States,3
Iran,Israel,3
Italy,the United States,3
South Vietnam202,The United States,3
Iraq,the Soviet Union,3
Soviet,Soviets,3
Japanese,North Africa,3
Japan,USA,3
Japan,West Germany,3
North Vietnamese,"North,203",3
North Vietnam,South Vietnamese,3
North Koreas,South Korea,3
North Koreas,South,3
North Korea,United States,3
Russia,US,3
North Africa,Soviets,3
North,South,3
North,North Vietnam,3
Russia,the United Kingdom,3
Nazi Germany,the United States,3
Russia,the United States,3
Koreas,the Vietnam War,3
Korea,Vietnam,3
Japanese,the United States.110,3
Japanese,the Soviet Union,3
Japanese,the South Manchuria Railway,3
Japanese,the Imperial Japanese Navy,3
Japanese,USS Missouri,3
Japanese,USA,3
Japanese,The Korean Peninsula,3
Japanese,South-East Asia,3
Soviet,US,3
Japan,the United States.110,3
Japan,the United States,3
Japan,the South Manchuria Railway,3
Japan,the Japanese Empire,3
Great Britain,the United States,3
the United Kingdom,the United States,3
Great Britain,Italy,3
Soviets,the United States,3
The Russian Revolution of,the Soviet Union,3
Canada.228,Japan,3
Germany,USSR,3
Britain,the United States,3
Bolshevik Russia,Germany,3
Australian,the Imperial Japanese Navy,3
Australian,Japanese,3
Australian,Japan,3
Australia,Great Britain,3
Australia,Canada,3
American,the United States,3
USSR,the Soviet Union,3
American,South,3
American,North Vietnamese,3
American,Australian,3
United Nations,the United States,3
America,Britain,3
African,the United Nations,3
United States,the Soviet Union,3
Africa,The United States,3
Africa,Italy,3
China,France,3
Canada,the United States,3
"North,203",South Vietnam202,3
East Germany,Soviet,3
France,the U.S. Post-war Germany,3
France,the Soviet Union,3
France,Soviets,3
China,the Japanese Empire,3
France,Italy,3
France,Great Britain,3
Egypt,North Africa,3
Soviet Union,US,3
Germany,North Africa,3
Germany,Soviet Union,3
Soviet,United States,3
China,the Korean War,3
France,the United Kingdom,3
Pakistan,The United States,2
Soviet,the American Space Shuttle,2
Russia,the Russian Empire,2
Vietnam,the Vietnam War,2
West Germany,the United Nations,2
Soviet,Vietnam,2
the American Space Shuttle,the United States,2
Soviet,Soviet Union,2
the Korean War,the North Atlantic Treaty Organization,2
Russia,Soviet,2
Soviets,the U.S. Post-war Germany,2
Russian,USSR,2
USS Missouri,the Soviet Union,2
Soviet Union,the Soviet Union,2
US,anti-American,2
The Soviet Union,the United States,2
Russian,the Soviet Union,2
South Korea,The Korean Peninsula,2
South,Vietnam,2
Sino-Soviet,the Soviet Union,2
Soviet Unions,the Soviet Union,2
Sino-Soviet,Soviet,2
Spain,the Soviet Union,2
USSR,the North Atlantic Treaty Organization,2
Africa,African,2
North and South,The United States,2
Britain,Great Britain,2
East Germany,Soviet Union,2
Compuserve and America Online,the Soviet Union,2
Compuserve and America Online,Indian,2
China,anti-American,2
China,Soviet,2
China,Indian,2
Canada.228,the Soviet Union,2
Britain,Italy,2
Bolshevik Russia,Russia,2
North Korea,Soviet,2
Americans,the United States,2
Americans,US,2
American,the Soviet Union,2
America,France,2
Africa,US,2
Africa,Soviet Union,2
Africa,India,2
Africa,China,2
Egypt,the Soviet Union,2
France,the Russian Empire,2
Germany,Japanese,2
Germany,New Mexico,2
North Korea,South Africa,2
North Africa,Soviet,2
New Mexico,the United Kingdom,2
Nazi Germany,Soviet,2
Korea,North and South,2
Japanese,Soviets,2
Japan,the Soviet Union,2
Japan,The United States,2
Japan,The Soviet Union,2
Japan,Soviet,2
Japan,North Africa,2
Africa,Britain,2
Iraq,Japanese,2
Iran,The United States,2
India,South Africa,2
Great Britain,Koreas,2
Germany,The Russian Revolution of,2
Germany,Spain,2
Italy,Soviet Unions,2
Africa.272 Usage,North Korea,1
Africa,France,1
